0.08		0.08	-0.08		0.0764	-0.0826		0.0766	-0.0829
0.16		0.1528	-0.1653		0.145	-0.1697		0.1453	-0.1702
0.24		0.2172	-0.254		0.2047	-0.2591		0.2051	-0.2599
0.32		0.272	-0.3441		0.2546	-0.3493		0.2551	-0.3502
0.4		0.3166	-0.4339		0.2943	-0.4386		0.2948	-0.4397
0.48		0.3506	-0.5219		0.3237	-0.5261		0.3243	-0.5272
0.56		0.3741	-0.6072		0.3434	-0.6107		0.3438	-0.6119
0.64		0.3877	-0.689		0.3539	-0.6918		0.3542	-0.693
0.72		0.3922	-0.7668		0.3561	-0.7689		0.3563	-0.7702
0.8		0.3886	-0.8402		0.3513	-0.8417		0.3514	-0.843
0.88		0.3782	-0.909		0.3407	-0.9099		0.3406	-0.9112
0.96		0.3624	-0.9731		0.3255	-0.9733		0.3253	-0.9746
1.04		0.3425	-1.0324		0.3069	-1.0318		0.3067	-1.033
1.12		0.3198	-1.0867		0.2863	-1.0853		0.2859	-1.0865
1.2		0.2954	-1.136		0.2645	-1.1337		0.2641	-1.1348
1.28		0.2706	-1.1804		0.2426	-1.1771		0.2421	-1.1781
1.36		0.246	-1.2197		0.2211	-1.2154		0.2205	-1.2164
1.44		0.2223	-1.254		0.2005	-1.2489		0.2	-1.2498
1.52		0.2001	-1.2836		0.1813	-1.2776		0.1808	-1.2785
1.6		0.1796	-1.3085		0.1635	-1.3018		0.163	-1.3026
1.68		0.1608	-1.3289		0.1472	-1.3217		0.1468	-1.3224
1.76		0.1436	-1.345		0.1322	-1.3375		0.1318	-1.3382
1.84		0.1279	-1.3572		0.1183	-1.3495		0.1179	-1.3501
1.92		0.1132	-1.3657		0.105	-1.3578		0.1047	-1.3584
2		0.0992	-1.3706		0.0919	-1.3627		0.0917	-1.3633
